feature,importance
FP_504,0.010507044914711194
FP_1854,0.010500603188959035
FP_598,0.010448246678059324
FP_1905,0.010407365600294951
FP_94,0.010345066383382175
FP_622,0.010301014714213175
FP_1236,0.010291915822799215
FP_1999,0.010273011677308696
FP_1980,0.010170811294053884
FP_606,0.010169856621861203
FP_1487,0.009831326065377684
FP_1410,0.009741650818458562
FP_1096,0.009031439099664917
FP_666,0.00899009481197533
FP_441,0.008632864373448332
FP_1043,0.00789274963420786
FP_1804,0.00784044499599799
FP_1808,0.0078302644231185
FP_1693,0.007715736144820217
FP_1737,0.0076624191222690674
FP_1279,0.007615415081497197
FP_14,0.00751973678778273
FP_1308,0.007329207437225979
FP_1747,0.007299044901818707
FP_947,0.00651826776231567
FP_1820,0.005965089797066732
FP_1126,0.005766211124703189
FP_383,0.0052308306267432195
FP_906,0.004963164326086495
FP_831,0.004472019854315356
FP_1287,0.004382284991963486
FP_1267,0.003961791365221644
FP_419,0.0039019444510302965
FP_1696,0.0038822191181503937
FP_1940,0.0035999294318505718
FP_529,0.003545555620761946
FP_1477,0.0029228149424459673
