model,cv_mae,holdout_mae,seconds
XGB,25.64156188733595,23.79861124672268,708.3275392055511
CatBoost,25.651956613612317,24.129504814102848,2476.8943915367126
NN,26.688582823544607,24.756699611260327,6186.173550605774
KNN,30.141528733803494,27.72103621060792,2419.3634169101715
