iter	Passed	Remaining
400	17517	51722
401	17561	51678
402	17613	51661
403	17659	51622
404	17705	51585
405	17734	51499
406	17780	51462
407	17820	51409
408	17882	51417
409	17941	51418
410	17994	51400
411	18035	51347
412	18086	51324
413	18140	51309
414	18188	51278
415	18228	51224
416	18284	51214
417	18335	51190
418	18374	51132
419	18412	51072
420	18450	51013
421	18494	50969
422	18539	50928
423	18586	50894
424	18644	50888
425	18698	50873
426	18757	50870
427	18805	50836
428	18853	50804
429	18886	50730
430	18935	50700
431	18980	50657
432	19022	50609
433	19059	50546
434	19112	50526
435	19158	50489
436	19200	50439
437	19243	50394
438	19289	50355
439	19348	50349
440	19397	50317
441	19439	50269
442	19482	50223
443	19521	50167
444	19577	50154
445	19619	50103
446	19667	50070
447	19712	50030
448	19749	49968
449	19790	49916
450	19846	49901
451	19881	49836
452	19924	49788
453	19962	49729
454	19997	49663
455	20028	49589
456	20075	49552
457	20116	49501
458	20159	49453
459	20196	49394
460	20236	49339
461	20273	49280
462	20312	49224
463	20356	49180
464	20404	49146
465	20445	49095
466	20489	49050
467	20535	49014
468	20570	48949
469	20609	48893
470	20640	48817
471	20676	48756
472	20708	48684
473	20761	48661
474	20792	48589
475	20822	48513
476	20860	48455
477	20900	48403
478	20931	48329
479	20965	48264
480	21004	48210
481	21043	48156
482	21091	48122
483	21129	48065
484	21159	47991
485	21192	47922
486	21236	47881
487	21281	47839
488	21316	47775
489	21354	47721
490	21391	47661
491	21432	47613
492	21470	47557
493	21516	47519
494	21559	47474
495	21587	47396
496	21635	47363
497	21672	47305
498	21700	47226
499	21744	47184
500	21784	47135
501	21834	47105
502	21885	47078
503	21917	47010
504	21964	46972
505	21996	46905
506	22033	46847
507	22079	46809
508	22114	46749
509	22149	46687
510	22195	46648
511	22228	46583
512	22266	46529
513	22321	46510
514	22358	46452
515	22398	46402
516	22423	46321
517	22462	46269
518	22497	46209
519	22530	46144
520	22567	46087
521	22616	46056
522	22654	46001
523	22691	45946
524	22736	45906
525	22777	45857
526	22821	45816
527	22861	45766
528	22897	45708
529	22937	45658
530	22974	45603
531	23011	45547
532	23050	45495
533	23095	45455
534	23130	45395
535	23171	45349
536	23214	45305
537	23247	45241
538	23279	45176
539	23314	45118
540	23357	45074
541	23395	45021
542	23423	44949
543	23463	44899
544	23486	44818
545	23514	44745
546	23554	44697
547	23596	44652
548	23634	44599
549	23676	44554
550	23710	44495
551	23738	44423
552	23780	44377
553	23821	44332
554	23869	44298
555	23917	44263
556	23967	44234
557	24003	44178
558	24034	44113
559	24072	44060
560	24109	44008
561	24142	43946
562	24178	43891
563	24219	43845
564	24263	43803
565	24299	43748
566	24342	43704
567	24392	43674
568	24431	43624
569	24472	43578
570	24508	43522
571	24558	43493
572	24609	43463
573	24659	43433
574	24698	43383
575	24732	43324
576	24781	43293
577	24825	43252
578	24874	43218
579	24923	43186
580	24961	43135
581	24991	43069
582	25027	43014
583	25054	42943
584	25089	42887
585	25127	42837
586	25169	42791
587	25215	42755
588	25272	42736
589	25311	42685
590	25346	42630
591	25398	42602
592	25449	42573
593	25482	42514
594	25526	42472
595	25565	42423
596	25604	42373
597	25652	42338
598	25704	42311
599	25751	42275
600	25784	42216
601	25807	42140
602	25860	42114
603	25905	42074
604	25947	42030
605	25984	41978
606	26027	41935
607	26060	41877
608	26091	41814
609	26119	41747
610	26156	41695
611	26199	41654
612	26232	41596
613	26279	41559
614	26319	41512
615	26346	41444
616	26378	41384
617	26409	41324
618	26436	41256
619	26464	41190
620	26489	41120
621	26517	41055
622	26566	41022
623	26614	40987
624	26652	40938
625	26686	40882
626	26724	40832
627	26763	40784
628	26803	40737
629	26840	40686
630	26871	40626
631	26900	40564
632	26933	40507
633	26976	40464
634	27010	40409
635	27052	40365
636	27086	40311
637	27125	40263
638	27159	40208
639	27182	40136
640	27215	40079
641	27248	40023
642	27280	39966
643	27313	39910
644	27355	39867
645	27388	39810
646	27410	39738
647	27440	39678
648	27475	39625
649	27508	39570
650	27546	39521
651	27575	39460
652	27602	39396
653	27640	39346
654	27678	39299
655	27716	39250
656	27752	39200
657	27797	39161
658	27824	39098
659	27854	39038
660	27893	38992
661	27945	38963
662	27982	38913
663	28024	38870
664	28068	38831
665	28100	38775
666	28127	38712
667	28160	38657
668	28189	38596
669	28233	38557
670	28274	38514
671	28304	38454
672	28333	38395
673	28370	38346
674	28405	38295
675	28440	38243
676	28483	38201
677	28524	38158
678	28558	38106
679	28598	38060
680	28636	38013
681	28679	37972
682	28721	37931
683	28749	37870
684	28781	37815
685	28815	37763
686	28848	37709
687	28887	37662
688	28923	37613
689	28954	37556
690	28994	37512
691	29030	37462
692	29062	37407
693	29094	37353
694	29128	37301
695	29167	37255
696	29192	37192
697	29229	37143
698	29264	37093
699	29292	37034
700	29325	36980
701	29363	36934
702	29411	36900
703	29451	36856
704	29484	36803
705	29515	36747
706	29555	36704
707	29596	36661
708	29641	36623
709	29679	36576
710	29714	36526
711	29748	36475
712	29789	36432
713	29825	36383
714	29863	36337
715	29904	36294
716	29951	36259
717	29980	36202
718	30023	36161
719	30066	36121
720	30096	36065
721	30132	36017
722	30173	35974
723	30204	35919
724	30240	35871
725	30274	35820
726	30327	35791
727	30365	35745
728	30390	35685
729	30433	35644
730	30482	35611
731	30506	35549
732	30544	35503
733	30578	35453
734	30610	35400
735	30643	35348
736	30678	35298
737	30723	35260
738	30764	35219
739	30796	35165
740	30828	35113
741	30864	35066
742	30909	35028
743	30945	34979
744	30982	34932
745	31020	34887
746	31054	34837
747	31088	34787
748	31119	34734
749	31151	34682
750	31185	34631
751	31215	34577
752	31244	34522
753	31284	34479
754	31317	34428
755	31347	34374
756	31391	34335
757	31421	34281
758	31454	34231
759	31488	34181
760	31528	34138
761	31566	34093
762	31620	34065
763	31669	34031
764	31699	33978
765	31729	33924
766	31765	33877
767	31801	33830
768	31841	33787
769	31873	33736
770	31910	33690
771	31941	33638
772	31985	33599
773	32014	33545
774	32040	33487
775	32072	33436
776	32101	33382
777	32138	33336
778	32171	33286
779	32211	33244
780	32242	33192
781	32277	33144
782	32311	33095
783	32350	33051
784	32395	33014
785	32429	32966
786	32460	32914
787	32492	32863
788	32529	32817
789	32576	32782
790	32623	32747
791	32659	32701
792	32689	32648
793	32739	32615
794	32772	32566
795	32801	32512
796	32834	32463
797	32873	32420
798	32920	32384
799	32959	32341
800	33010	32310
801	33046	32263
802	33096	32230
803	33147	32199
804	33213	32182
805	33248	32134
806	33303	32106
807	33351	32071
808	33403	32040
809	33449	32004
810	33478	31951
811	33513	31903
812	33552	31860
813	33602	31827
814	33633	31775
815	33672	31733
816	33711	31689
817	33752	31648
818	33774	31589
819	33815	31547
820	33858	31508
821	33897	31464
822	33930	31416
823	33972	31375
824	34020	31340
825	34054	31292
826	34100	31254
827	34133	31206
828	34177	31167
829	34226	31133
830	34273	31097
831	34294	31037
832	34334	30995
833	34379	30957
834	34407	30905
835	34454	30869
836	34483	30816
837	34521	30772
838	34564	30732
839	34596	30683
840	34648	30652
841	34713	30632
842	34761	30596
843	34801	30554
844	34842	30512
845	34873	30462
846	34912	30419
847	34939	30366
848	34976	30320
849	35023	30284
850	35068	30247
851	35113	30209
852	35167	30179
853	35204	30133
854	35237	30085
855	35288	30053
856	35330	30012
857	35370	29969
858	35410	29927
859	35458	29892
860	35500	29852
861	35532	29802
862	35561	29751
863	35604	29711
864	35643	29668
865	35682	29625
866	35722	29583
867	35751	29532
868	35789	29488
869	35838	29453
870	35870	29405
871	35899	29353
872	35947	29318
873	35991	29279
874	36021	29228
875	36067	29191
876	36099	29143
877	36125	29089
878	36164	29047
879	36193	28996
880	36226	28948
881	36258	28899
882	36291	28852
883	36325	28805
884	36358	28757
885	36392	28711
886	36426	28665
887	36471	28627
888	36508	28582
889	36549	28541
890	36585	28496
891	36625	28454
892	36677	28422
893	36717	28380
894	36746	28329
895	36786	28287
896	36830	28249
897	36852	28193
898	36894	28152
899	36936	28112
900	36986	28078
901	37018	28030
902	37061	27990
903	37090	27941
904	37120	27891
905	37150	27842
906	37197	27805
907	37231	27759
908	37272	27718
909	37302	27669
910	37345	27629
911	37379	27583
912	37407	27533
913	37438	27484
914	37480	27444
915	37516	27399
916	37554	27357
917	37603	27321
918	37629	27269
919	37670	27228
920	37706	27185
921	37751	27146
922	37786	27101
923	37828	27061
924	37860	27013
925	37907	26977
926	37945	26934
927	37980	26889
928	38018	26846
929	38049	26798
930	38088	26756
931	38135	26719
932	38181	26682
933	38224	26642
934	38257	26596
935	38298	26555
936	38346	26519
937	38380	26473
938	38426	26435
939	38464	26393
940	38504	26351
941	38559	26320
942	38603	26281
943	38651	26245
944	38706	26213
945	38740	26168
946	38762	26114
947	38818	26083
948	38861	26044
949	38904	26004
950	38935	25956
951	38969	25911
952	39012	25872
953	39047	25826
954	39084	25783
955	39120	25739
956	39158	25696
957	39194	25652
958	39242	25615
959	39284	25575
960	39326	25535
961	39352	25485
962	39386	25439
963	39428	25399
964	39468	25357
965	39499	25310
966	39534	25266
967	39577	25226
968	39620	25187
969	39650	25139
970	39691	25098
971	39728	25055
972	39767	25012
973	39801	24968
974	39844	24928
975	39875	24881
976	39910	24836
977	39940	24789
978	39980	24748
979	40009	24699
980	40039	24652
981	40079	24611
982	40105	24560
983	40133	24512
