iter	MAE
0	69.6909383
1	67.58288724
2	65.42937206
3	63.56043143
4	61.79438087
5	60.07819203
6	58.40749311
7	56.8298018
8	55.44130567
9	54.03745174
10	52.72537878
11	51.45493302
12	50.23770704
13	49.09855405
14	48.08575334
15	47.06256306
16	46.09102279
17	45.19656455
18	44.31396751
19	43.5297605
20	42.7432013
21	42.00216073
22	41.31255464
23	40.69865787
24	40.07876603
25	39.47651258
26	38.92557275
27	38.40923896
28	37.8887571
29	37.3887827
30	36.93822777
31	36.49022915
32	36.07868362
33	35.71953851
34	35.33254127
35	34.99163802
36	34.66259284
37	34.33330105
38	34.00584581
39	33.70737136
40	33.39382627
41	33.13339219
42	32.85082446
43	32.5961515
44	32.35604975
45	32.12495401
46	31.90412958
47	31.69986811
48	31.47888758
49	31.28610367
50	31.09661096
51	30.93668906
52	30.77575485
53	30.60086603
54	30.44021429
55	30.28660746
56	30.13946576
57	29.98954311
58	29.84400612
59	29.71147442
60	29.57751399
61	29.44537475
62	29.36251637
63	29.24559048
64	29.13628051
65	29.0380516
66	28.93319585
67	28.82648932
68	28.70227159
69	28.60179187
70	28.5072354
71	28.40433646
72	28.29988027
73	28.20191547
74	28.09694985
75	27.99884564
76	27.8954207
77	27.82596252
78	27.74989142
79	27.69633105
80	27.63848138
81	27.57242656
82	27.5190594
83	27.44164581
84	27.37927004
85	27.31363558
86	27.26376505
87	27.19461121
88	27.1222329
89	27.07167516
90	27.00681591
91	26.9570624
92	26.90409396
93	26.85093658
94	26.78999958
95	26.74213081
96	26.68989549
97	26.62282817
98	26.57496796
99	26.51396429
100	26.47911441
101	26.41397115
102	26.3575361
103	26.28866182
104	26.25045636
105	26.21444655
106	26.18023872
107	26.14419317
108	26.11718903
109	26.06797057
110	26.02763493
111	25.98013156
112	25.92981387
113	25.87866542
114	25.83583257
115	25.80632986
116	25.76401803
117	25.71260893
118	25.66970713
119	25.63095993
120	25.5946657
121	25.56948192
122	25.52978908
123	25.4896843
124	25.46239821
125	25.42468875
126	25.39844023
127	25.36246619
128	25.32347578
129	25.28527515
130	25.25556668
131	25.217009
132	25.18751998
133	25.14104841
134	25.11680636
135	25.07791047
136	25.05129535
137	25.01640993
138	24.99049536
139	24.962522
140	24.934613
141	24.90980442
142	24.8814581
